scenario,seed,oracle_R,oracle_R_feasible,grid_R,ga_true_R,ga_mc_fit,ga_cf_R,regret_pct,wall_seconds
4,9,96869.3571,96869.3571,94875.5187,95965.8893,77964.5364,77965.3496,0.932666,28.273
5,0,80090.9403,80090.9403,78888.8945,79891.6984,68596.3858,68612.5623,0.248770,28.333
5,1,80090.9403,80090.9403,78888.8945,79487.6997,68557.8142,68499.8628,0.753195,28.619
5,2,80090.9403,80090.9403,78888.8945,79495.4917,68503.5842,68519.1644,0.743466,28.581
5,3,80090.9403,80090.9403,78888.8945,79356.0844,68483.4594,68510.1060,0.917527,28.666
5,4,80090.9403,80090.9403,78888.8945,79392.4533,68485.2486,68467.0382,0.872117,28.786
5,5,80090.9403,80090.9403,78888.8945,79935.3172,68592.7219,68566.5328,0.194308,28.599
5,6,80090.9403,80090.9403,78888.8945,79080.0978,68500.0944,68508.6424,1.262118,28.796
5,7,80090.9403,80090.9403,78888.8945,79658.7607,68605.8863,68594.0930,0.539611,28.997
5,8,80090.9403,80090.9403,78888.8945,79425.5710,68499.6562,68515.9241,0.830767,28.850
5,9,80090.9403,80090.9403,78888.8945,79494.3507,68462.5058,68463.5905,0.744890,28.339
6,0,71738.0343,71372.3675,69713.0075,70479.4299,64639.3859,64655.5012,1.754445,28.803
6,1,71738.0343,71372.3675,69713.0075,70234.1415,64782.6556,64728.7886,2.096368,28.485
6,2,71738.0343,71372.3675,69713.0075,70409.6479,64876.5396,64890.5190,1.851718,28.349
6,3,71738.0343,71372.3675,69713.0075,70370.3182,64715.1380,64740.9453,1.906543,28.446
6,4,71738.0343,71372.3675,69713.0075,70345.0793,64917.8148,64901.2874,1.941725,28.423
6,5,71738.0343,71372.3675,69713.0075,70418.5728,64914.9986,64890.3674,1.839277,28.255
6,6,71738.0343,71372.3675,69713.0075,70239.3425,64783.7513,64791.1498,2.089117,28.464
6,7,71738.0343,71372.3675,69713.0075,70315.4145,64778.8997,64767.8360,1.983076,28.735
6,8,71738.0343,71372.3675,69713.0075,70372.6280,64872.5683,64887.5382,1.903323,28.612
6,9,71738.0343,71372.3675,69713.0075,70437.9945,64910.4547,64910.8012,1.812204,28.244
7,0,66916.8864,66695.1032,64137.9499,65767.7067,65149.6859,65166.7341,1.717324,28.508
7,1,66916.8864,66695.1032,64137.9499,66063.9513,65157.3127,65102.6335,1.274619,28.387
7,2,66916.8864,66695.1032,64137.9499,64729.7858,64843.6871,64857.7664,3.268384,28.439
7,3,66916.8864,66695.1032,64137.9499,64008.9095,64787.2257,64813.2697,4.345655,28.498
7,4,66916.8864,66695.1032,64137.9499,65842.4307,65161.2184,65144.8666,1.605657,28.392
7,5,66916.8864,66695.1032,64137.9499,65860.9536,65132.1153,65107.1518,1.577977,28.292
7,6,66916.8864,66695.1032,64137.9499,64150.2695,64889.7775,64897.3924,4.134408,28.573
7,7,66916.8864,66695.1032,64137.9499,65957.4828,65097.9961,65086.5187,1.433724,28.764
7,8,66916.8864,66695.1032,64137.9499,65920.4911,65113.7858,65128.2866,1.489004,28.717
7,9,66916.8864,66695.1032,64137.9499,64487.9223,64862.2026,64862.9143,3.629822,28.102
8,0,72182.7110,72182.7110,70717.0879,71551.1794,73686.1126,73704.4991,0.874907,28.648
8,1,72182.7110,72182.7110,70717.0879,71555.4291,73701.1326,73639.9805,0.869020,29.042
8,2,72182.7110,72182.7110,70717.0879,71459.7882,73664.5987,73680.7808,1.001518,28.749
8,3,72182.7110,72182.7110,70717.0879,71597.2807,73626.4068,73655.2145,0.811040,28.813
8,4,72182.7110,72182.7110,70717.0879,71360.1521,73693.3463,73674.7227,1.139551,29.613
8,5,72182.7110,72182.7110,70717.0879,71394.8272,73706.6114,73679.0261,1.091513,30.073
8,6,72182.7110,72182.7110,70717.0879,71589.8336,73674.4983,73683.4940,0.821357,28.738
8,7,72182.7110,72182.7110,70717.0879,71489.3322,73772.7088,73759.4270,0.960589,28.645
8,8,72182.7110,72182.7110,70717.0879,71535.5660,73665.2920,73681.9616,0.896537,28.793
8,9,72182.7110,72182.7110,70717.0879,71697.1749,73777.7077,73777.8542,0.672649,28.697
9,0,64960.2462,64960.2462,63689.0096,63970.6379,59586.2779,59601.4222,1.523406,29.055
9,1,64960.2462,64960.2462,63689.0096,64203.5615,59751.2015,59700.9691,1.164843,28.795
9,2,64960.2462,64960.2462,63689.0096,64076.3359,59601.9078,59614.3082,1.360694,28.752
9,3,64960.2462,64960.2462,63689.0096,64092.9237,59666.4630,59690.1823,1.335159,28.772
9,4,64960.2462,64960.2462,63689.0096,64181.1566,59728.8016,59713.7311,1.199333,29.831
9,5,64960.2462,64960.2462,63689.0096,64040.6060,59645.7269,59623.3483,1.415697,29.760
9,6,64960.2462,64960.2462,63689.0096,64203.9052,59677.6674,59684.6141,1.164314,29.044
9,7,64960.2462,64960.2462,63689.0096,64191.7158,59727.3154,59717.0043,1.183078,28.757
9,8,64960.2462,64960.2462,63689.0096,64009.6946,59580.5719,59594.3718,1.463282,29.028
9,9,64960.2462,64960.2462,63689.0096,64250.5932,59632.0366,59632.0319,1.092442,28.833
10,0,52260.6232,52260.6232,51574.0283,51778.8287,50767.3491,50779.8623,0.921907,29.071
10,1,52260.6232,52260.6232,51574.0283,51878.1705,50798.8554,50756.0646,0.731818,28.894
10,2,52260.6232,52260.6232,51574.0283,51550.3008,50756.9663,50767.8451,1.359192,29.057
10,3,52260.6232,52260.6232,51574.0283,51662.2487,50743.4990,50763.7057,1.144982,29.066
10,4,52260.6232,52260.6232,51574.0283,51739.3993,50809.9120,50796.9605,0.997355,30.045
10,5,52260.6232,52260.6232,51574.0283,51752.1174,50799.3904,50779.8542,0.973019,29.886
10,6,52260.6232,52260.6232,51574.0283,51749.6598,50736.3710,50742.7418,0.977722,29.134
10,7,52260.6232,52260.6232,51574.0283,51886.6207,50904.2304,50895.6677,0.715649,28.866
10,8,52260.6232,52260.6232,51574.0283,51720.5924,50740.8626,50752.8902,1.033342,29.196
10,9,52260.6232,52260.6232,51574.0283,51834.8492,50891.0033,50891.7068,0.814713,28.721
11,0,60835.0878,60835.0878,59933.7654,59515.6755,65016.5502,65032.3351,2.168834,28.965
11,1,60835.0878,60835.0878,59933.7654,60307.5400,65118.4576,65063.5364,0.867177,28.611
11,2,60835.0878,60835.0878,59933.7654,60198.0626,65045.7564,65060.5746,1.047135,28.648
11,3,60835.0878,60835.0878,59933.7654,60283.5967,65046.4755,65071.7286,0.906535,28.742
11,4,60835.0878,60835.0878,59933.7654,60248.0355,65066.3142,65049.3015,0.964990,29.677
11,5,60835.0878,60835.0878,59933.7654,60295.1598,65102.9293,65078.0209,0.887527,29.473
11,6,60835.0878,60835.0878,59933.7654,60290.8357,65079.2032,65087.2518,0.894635,28.845
11,7,60835.0878,60835.0878,59933.7654,60579.6225,65325.7030,65313.7245,0.419931,28.690
11,8,60835.0878,60835.0878,59933.7654,60238.8721,64991.0849,65007.0674,0.980052,28.891
11,9,60835.0878,60835.0878,59933.7654,60598.5189,65314.0526,65314.2899,0.388869,28.707
12,0,74972.4238,74972.4238,73942.1672,74625.8118,59607.9331,59621.9939,0.462319,28.253
12,1,74972.4238,74972.4238,73942.1672,74477.7785,59646.9663,59596.8680,0.659770,28.631
12,2,74972.4238,74972.4238,73942.1672,74420.5046,59559.2420,59573.1856,0.736163,28.827
12,3,74972.4238,74972.4238,73942.1672,74498.1020,59570.4550,59593.6676,0.632662,28.662
12,4,74972.4238,74972.4238,73942.1672,74514.2345,59577.2540,59561.8242,0.611144,28.445
12,5,74972.4238,74972.4238,73942.1672,74598.5756,59633.5761,59611.1602,0.498648,28.854
12,6,74972.4238,74972.4238,73942.1672,74574.3516,59604.3840,59611.6752,0.530958,28.607
12,7,74972.4238,74972.4238,73942.1672,73657.8333,59623.4703,59613.3192,1.753432,28.472
12,8,74972.4238,74972.4238,73942.1672,74485.6398,59604.0844,59618.1064,0.649284,28.903
12,9,74972.4238,74972.4238,73942.1672,74454.4294,59572.0849,59573.2331,0.690913,28.533
13,0,90095.7105,90095.7105,87985.2183,88790.0854,81560.4265,81579.7318,1.449153,28.966
13,1,90095.7105,90095.7105,87985.2183,89227.8516,81773.1248,81705.3264,0.963263,29.043
13,2,90095.7105,90095.7105,87985.2183,88495.5190,81559.1638,81577.3279,1.776102,29.017
13,3,90095.7105,90095.7105,87985.2183,88550.0657,81529.3114,81561.7515,1.715559,29.035
13,4,90095.7105,90095.7105,87985.2183,88854.8087,81614.0555,81593.4214,1.377315,28.686
13,5,90095.7105,90095.7105,87985.2183,88436.1965,81562.0796,81531.0563,1.841946,29.271
13,6,90095.7105,90095.7105,87985.2183,88336.1824,81518.0392,81527.9302,1.952954,28.953
13,7,90095.7105,90095.7105,87985.2183,88611.9240,81659.3892,81645.7835,1.646900,28.900
13,8,90095.7105,90095.7105,87985.2183,88577.5613,81527.2297,81545.8151,1.685040,29.093
13,9,90095.7105,90095.7105,87985.2183,88546.0025,81538.5305,81539.4351,1.720069,28.705
14,0,43665.0002,43665.0002,42989.5999,43394.3394,44766.3234,44776.8937,0.619857,29.344
14,1,43665.0002,43665.0002,42989.5999,43342.7361,44812.8722,44774.6439,0.738037,29.270
14,2,43665.0002,43665.0002,42989.5999,43399.5767,44755.0509,44765.1588,0.607863,28.990
14,3,43665.0002,43665.0002,42989.5999,43267.0260,44752.3141,44769.8955,0.911426,29.059
14,4,43665.0002,43665.0002,42989.5999,43395.5409,44782.0744,44770.0374,0.617106,28.739
14,5,43665.0002,43665.0002,42989.5999,43345.8616,44800.5717,44783.4601,0.730880,29.105
14,6,43665.0002,43665.0002,42989.5999,43364.1763,44774.5845,44780.3772,0.688936,28.852
14,7,43665.0002,43665.0002,42989.5999,43332.2047,44802.4353,44795.1548,0.762156,28.909
14,8,43665.0002,43665.0002,42989.5999,43301.8670,44768.4186,44779.4765,0.831635,29.010
14,9,43665.0002,43665.0002,42989.5999,43490.5008,44747.1250,44747.9289,0.399632,28.590
15,0,68975.8588,68975.8588,67740.0747,68255.0169,66149.6048,66166.1193,1.045064,29.109
15,1,68975.8588,68975.8588,67740.0747,68261.0899,66254.3276,66199.0366,1.036260,28.991
15,2,68975.8588,68975.8588,67740.0747,68219.9572,66142.6186,66156.7634,1.095893,29.047
15,3,68975.8588,68975.8588,67740.0747,68324.4446,66098.5526,66124.8726,0.944409,29.036
15,4,68975.8588,68975.8588,67740.0747,68165.3318,66229.0210,66212.3759,1.175088,28.796
15,5,68975.8588,68975.8588,67740.0747,68291.9227,66182.6379,66157.2433,0.991559,29.239
15,6,68975.8588,68975.8588,67740.0747,68359.1954,66211.3284,66219.1769,0.894028,28.914
15,7,68975.8588,68975.8588,67740.0747,68290.7462,66171.4701,66160.6673,0.993264,28.977
15,8,68975.8588,68975.8588,67740.0747,68122.9389,66101.4382,66117.2514,1.236548,29.036
15,9,68975.8588,68975.8588,67740.0747,68234.0535,66162.9495,66163.5580,1.075456,28.640
16,0,70763.2887,70763.2887,69757.8650,70026.4785,64797.7162,64813.7774,1.041232,28.125
16,1,70763.2887,70763.2887,69757.8650,70160.8169,64916.7631,64862.5771,0.851390,28.899
16,2,70763.2887,70763.2887,69757.8650,70215.4884,64869.5831,64883.3162,0.774131,29.957
16,3,70763.2887,70763.2887,69757.8650,70154.2800,64846.7004,64872.2894,0.860628,29.995
16,4,70763.2887,70763.2887,69757.8650,70208.6206,65023.7432,65007.3418,0.783836,28.732
16,5,70763.2887,70763.2887,69757.8650,70275.2690,65050.0393,65025.6007,0.689651,28.610
16,6,70763.2887,70763.2887,69757.8650,70406.3722,64850.4159,64858.1542,0.504381,28.599
16,7,70763.2887,70763.2887,69757.8650,70254.3615,64884.9439,64874.8614,0.719197,28.625
16,8,70763.2887,70763.2887,69757.8650,70230.1769,64848.9571,64863.6587,0.753373,28.800
16,9,70763.2887,70763.2887,69757.8650,70234.6547,65014.9320,65015.6288,0.747046,28.690
17,0,86264.9936,86264.9936,84138.7169,85932.9777,77120.1496,77139.6294,0.384879,28.726
17,1,86264.9936,86264.9936,84138.7169,85749.4663,77235.9854,77171.0815,0.597609,28.756
17,2,86264.9936,86264.9936,84138.7169,84765.9470,76965.3518,76982.5747,1.737723,30.658
17,3,86264.9936,86264.9936,84138.7169,84875.4579,76917.0525,76947.4629,1.610776,29.556
17,4,86264.9936,86264.9936,84138.7169,85819.9165,77133.7939,77114.1084,0.515942,28.741
17,5,86264.9936,86264.9936,84138.7169,85802.8757,77162.7348,77133.6835,0.535696,28.577
17,6,86264.9936,86264.9936,84138.7169,85014.7569,77024.7578,77034.2369,1.449298,28.361
17,7,86264.9936,86264.9936,84138.7169,85871.0320,77159.0442,77145.1509,0.456688,28.784
17,8,86264.9936,86264.9936,84138.7169,85953.9275,77082.2852,77100.2595,0.360594,28.758
17,9,86264.9936,86264.9936,84138.7169,85020.6169,76947.6445,76948.7825,1.442505,28.334
18,0,51818.9737,51818.9737,51067.7459,51359.9096,45095.9272,45106.1801,0.885900,28.708
18,1,51818.9737,51818.9737,51067.7459,51591.9682,45165.0886,45126.9447,0.438074,28.832
18,2,51818.9737,51818.9737,51067.7459,51505.3567,45115.8786,45126.7528,0.605217,30.661
18,3,51818.9737,51818.9737,51067.7459,51287.2792,45104.8142,45122.3948,1.026062,29.597
18,4,51818.9737,51818.9737,51067.7459,51519.9800,45173.2992,45161.1473,0.576997,28.772
18,5,51818.9737,51818.9737,51067.7459,51393.0401,45117.9701,45100.8646,0.821965,28.623
18,6,51818.9737,51818.9737,51067.7459,51496.2216,45152.3769,45157.9263,0.622845,28.546
18,7,51818.9737,51818.9737,51067.7459,51412.3849,45132.7170,45124.9138,0.784633,28.849
18,8,51818.9737,51818.9737,51067.7459,51596.5184,45117.7730,45128.3151,0.429293,28.813
18,9,51818.9737,51818.9737,51067.7459,51595.3386,45103.9288,45104.9253,0.431570,28.383
19,0,54640.9526,54521.4116,53872.7678,53994.3588,46971.0207,46982.5989,1.183350,28.483
19,1,54640.9526,54521.4116,53872.7678,53952.5455,47015.0339,46975.3198,1.259874,28.574
19,2,54640.9526,54521.4116,53872.7678,53920.6928,46960.7056,46970.7704,1.318168,30.365
19,3,54640.9526,54521.4116,53872.7678,53874.2295,46945.2005,46963.5661,1.403202,29.451
19,4,54640.9526,54521.4116,53872.7678,53955.9878,46956.9702,46944.6004,1.253574,28.553
19,5,54640.9526,54521.4116,53872.7678,54027.4782,47008.1327,46989.9725,1.122737,28.466
19,6,54640.9526,54521.4116,53872.7678,53907.9777,46952.3576,46958.2849,1.341439,28.370
19,7,54640.9526,54521.4116,53872.7678,53894.8993,46968.2758,46960.3474,1.365374,28.647
19,8,54640.9526,54521.4116,53872.7678,54021.8622,46914.9717,46926.3167,1.133015,28.605
19,9,54640.9526,54521.4116,53872.7678,54012.3904,46972.3534,46972.6862,1.150350,28.303
20,0,87702.8733,87702.8733,86199.7690,86996.3201,88468.8416,88490.5194,0.805621,27.736
20,1,87702.8733,87702.8733,86199.7690,87257.5881,88540.7991,88467.3973,0.507720,28.358
20,2,87702.8733,87702.8733,86199.7690,86989.2038,88449.4856,88469.1324,0.813736,28.310
20,3,87702.8733,87702.8733,86199.7690,87150.6243,88422.8847,88456.9932,0.629682,28.406
20,4,87702.8733,87702.8733,86199.7690,87170.6908,88470.6673,88448.0374,0.606802,28.452
20,5,87702.8733,87702.8733,86199.7690,87135.5540,88516.1179,88482.8041,0.646865,28.443
20,6,87702.8733,87702.8733,86199.7690,86995.6236,88487.2988,88497.9526,0.806416,28.224
20,7,87702.8733,87702.8733,86199.7690,87062.1445,88506.4973,88491.5600,0.730568,28.545
20,8,87702.8733,87702.8733,86199.7690,87255.1058,88447.4996,88467.7232,0.510551,28.365
20,9,87702.8733,87702.8733,86199.7690,86999.9212,88486.3618,88487.7921,0.801515,28.135
21,0,51957.7245,51957.7245,51170.9352,51576.4437,49799.8584,49811.6346,0.733829,28.275
21,1,51957.7245,51957.7245,51170.9352,51542.3085,49876.0465,49833.5857,0.799527,28.342
21,2,51957.7245,51957.7245,51170.9352,51615.2098,49787.8854,49799.3196,0.659218,28.414
21,3,51957.7245,51957.7245,51170.9352,51556.6957,49803.1139,49822.3040,0.771837,28.476
21,4,51957.7245,51957.7245,51170.9352,51572.4002,49834.8225,49821.6067,0.741611,28.491
21,5,51957.7245,51957.7245,51170.9352,51652.8737,49815.0559,49795.8476,0.586729,28.379
21,6,51957.7245,51957.7245,51170.9352,51596.9845,49824.5424,49830.9570,0.694295,28.337
21,7,51957.7245,51957.7245,51170.9352,51599.5034,49812.9320,49804.8581,0.689447,28.593
21,8,51957.7245,51957.7245,51170.9352,51654.5813,49777.6275,49790.2900,0.583442,28.376
21,9,51957.7245,51957.7245,51170.9352,51567.3452,49832.5954,49833.5080,0.751340,27.994
22,0,72206.5918,72206.5918,71407.9684,72011.1654,73420.1341,73438.1607,0.270649,28.544
22,1,72206.5918,72206.5918,71407.9684,71755.4567,73460.5461,73398.9289,0.624784,28.607
22,2,72206.5918,72206.5918,71407.9684,71976.6541,73449.4564,73465.2450,0.318444,28.596
22,3,72206.5918,72206.5918,71407.9684,71899.8137,73398.4170,73427.3957,0.424862,28.737
22,4,72206.5918,72206.5918,71407.9684,71939.8665,73426.2612,73407.4868,0.369392,28.806
22,5,72206.5918,72206.5918,71407.9684,71958.2993,73447.6125,73419.3426,0.343864,28.742
22,6,72206.5918,72206.5918,71407.9684,72008.8846,73399.6358,73408.4538,0.273808,28.663
22,7,72206.5918,72206.5918,71407.9684,71977.0560,73461.9747,73450.4636,0.317888,28.915
22,8,72206.5918,72206.5918,71407.9684,71899.1154,73388.4479,73405.6137,0.425829,28.463
22,9,72206.5918,72206.5918,71407.9684,72020.0276,73426.3438,73426.8847,0.258376,28.099
23,0,63838.9021,63838.9021,62814.7253,63417.3770,64608.7188,64625.2568,0.660295,28.158
23,1,63838.9021,63838.9021,62814.7253,63147.7388,64681.7092,64627.9637,1.082668,28.143
23,2,63838.9021,63838.9021,62814.7253,63212.6648,64332.5630,64346.0636,0.980965,28.274
23,3,63838.9021,63838.9021,62814.7253,63412.3117,64542.8696,64569.0440,0.668229,28.349
23,4,63838.9021,63838.9021,62814.7253,63193.9097,64584.1691,64567.9500,1.010344,28.305
23,5,63838.9021,63838.9021,62814.7253,63294.5001,64490.3496,64465.5140,0.852775,28.261
23,6,63838.9021,63838.9021,62814.7253,62994.9434,64538.3042,64545.0155,1.322013,28.309
23,7,63838.9021,63838.9021,62814.7253,63464.7878,64667.2942,64655.8777,0.586029,28.472
23,8,63838.9021,63838.9021,62814.7253,63014.5208,64599.8783,64615.6104,1.291346,28.170
23,9,63838.9021,63838.9021,62814.7253,62899.2601,64339.0503,64339.3892,1.471896,27.829
24,0,89811.7016,89811.7016,87630.2419,88878.4430,72561.9054,72578.8212,1.039128,27.475
24,1,89811.7016,89811.7016,87630.2419,88868.8406,72626.8311,72565.6314,1.049820,28.224
24,2,89811.7016,89811.7016,87630.2419,88360.7841,72600.3181,72616.8385,1.615511,28.242
24,3,89811.7016,89811.7016,87630.2419,88379.2176,72407.0793,72435.5089,1.594986,29.649
24,4,89811.7016,89811.7016,87630.2419,88857.7249,72552.1780,72533.3763,1.062197,28.345
24,5,89811.7016,89811.7016,87630.2419,88310.8528,72622.9112,72595.4689,1.671106,28.155
24,6,89811.7016,89811.7016,87630.2419,87579.9939,72396.3582,72405.7681,2.484874,28.242
24,7,89811.7016,89811.7016,87630.2419,89122.6338,72609.7324,72597.6136,0.767236,28.326
24,8,89811.7016,89811.7016,87630.2419,89007.6924,72423.8287,72441.3986,0.895217,28.209
24,9,89811.7016,89811.7016,87630.2419,88400.8123,72627.0688,72628.4974,1.570942,28.396
25,0,97140.7607,97140.7607,96049.4169,96857.4712,83852.0250,83871.9003,0.291628,27.864
25,1,97140.7607,97140.7607,96049.4169,96966.5061,83965.7217,83895.8751,0.179384,28.195
25,2,97140.7607,97140.7607,96049.4169,96834.0223,83873.1216,83891.9306,0.315767,28.995
25,3,97140.7607,97140.7607,96049.4169,96596.7055,83813.4667,83846.5339,0.560069,28.688
25,4,97140.7607,97140.7607,96049.4169,96493.3664,83858.6351,83837.1382,0.666450,28.143
25,5,97140.7607,97140.7607,96049.4169,96552.8555,83876.2889,83844.7646,0.605210,28.135
25,6,97140.7607,97140.7607,96049.4169,96732.1579,83860.4389,83870.5509,0.420630,28.153
25,7,97140.7607,97140.7607,96049.4169,96792.1950,83866.8180,83852.3066,0.358825,28.193
25,8,97140.7607,97140.7607,96049.4169,96741.1454,83845.8562,83864.9519,0.411378,28.198
25,9,97140.7607,97140.7607,96049.4169,96829.9789,83868.8574,83870.2028,0.319929,28.092
26,0,64665.4537,64665.4537,63435.8224,63833.6600,62595.9307,62611.1478,1.286303,28.059
26,1,64665.4537,64665.4537,63435.8224,63742.9305,62662.0387,62609.7211,1.426609,28.336
26,2,64665.4537,64665.4537,63435.8224,63763.6109,62609.8126,62623.2264,1.394628,29.355
26,3,64665.4537,64665.4537,63435.8224,63835.9564,62573.0055,62597.7394,1.282752,28.756
26,4,64665.4537,64665.4537,63435.8224,64005.2833,62638.3954,62622.7345,1.020901,28.396
26,5,64665.4537,64665.4537,63435.8224,63786.9310,62588.7596,62564.7191,1.358566,28.324
26,6,64665.4537,64665.4537,63435.8224,63788.0674,62636.1982,62643.6826,1.356808,28.369
26,7,64665.4537,64665.4537,63435.8224,63948.7220,62807.4515,62796.5108,1.108369,28.349
26,8,64665.4537,64665.4537,63435.8224,63758.9535,62612.3680,62626.3520,1.401831,28.368
26,9,64665.4537,64665.4537,63435.8224,63786.7481,62620.1575,62620.6687,1.358849,28.165
27,0,83095.4678,82879.8195,81009.6757,81226.3411,68789.1339,68806.0041,2.249373,28.432
27,1,83095.4678,82879.8195,81009.6757,81583.8692,68890.5968,68833.6889,1.819111,28.464
27,2,83095.4678,82879.8195,81009.6757,81394.6171,68653.2322,68667.7906,2.046863,29.914
27,3,83095.4678,82879.8195,81009.6757,81614.1248,68840.4615,68867.5038,1.782700,28.577
27,4,83095.4678,82879.8195,81009.6757,81435.2410,68886.4033,68869.4232,1.997975,28.502
27,5,83095.4678,82879.8195,81009.6757,81491.4104,68717.4702,68691.2375,1.930379,28.479
27,6,83095.4678,82879.8195,81009.6757,81575.9028,68868.3940,68876.4385,1.828698,28.549
27,7,83095.4678,82879.8195,81009.6757,81602.8622,68979.5976,68967.6466,1.796254,28.521
27,8,83095.4678,82879.8195,81009.6757,81604.7055,68862.1236,68877.3125,1.794036,28.496
27,9,83095.4678,82879.8195,81009.6757,81693.3068,68777.5919,68778.2516,1.687410,28.139
28,0,67586.9165,67586.9165,65276.3364,66734.9071,66262.4188,66279.4968,1.260613,26.620
28,1,67586.9165,67586.9165,65276.3364,65952.2803,66361.2110,66305.4566,2.418569,26.442
28,2,67586.9165,67586.9165,65276.3364,66071.0209,66203.3069,66217.0949,2.242883,26.279
