scenario,seed,oracle_R,grid_R,ga_true_R,ga_mc_fit,regret_pct,wall_seconds
6,0,72152.0974,70673.4701,70924.8007,86160.5187,1.700985,23.614
6,1,72152.0974,70673.4701,70967.2009,85883.9090,1.642220,23.981
6,2,72152.0974,70673.4701,70735.0083,86242.1004,1.964030,24.299
6,3,72152.0974,70673.4701,70567.2565,86199.8954,2.196528,24.172
6,4,72152.0974,70673.4701,70673.5389,85937.0469,2.049225,24.461
6,5,72152.0974,70673.4701,71052.5909,85869.2982,1.523873,24.066
6,6,72152.0974,70673.4701,71024.9508,85941.2626,1.562181,23.840
6,7,72152.0974,70673.4701,70680.1820,86197.3687,2.040017,23.721
6,8,72152.0974,70673.4701,71041.7383,86095.3151,1.538915,23.521
6,9,72152.0974,70673.4701,71074.5784,85748.3711,1.493399,23.512
7,0,66907.5334,64681.2241,66253.7100,86149.4147,0.977204,23.690
7,1,66907.5334,64681.2241,65671.8654,85922.3395,1.846829,23.604
7,2,66907.5334,64681.2241,66309.9652,86242.6821,0.893125,23.684
7,3,66907.5334,64681.2241,66173.1624,86303.5869,1.097591,23.691
7,4,66907.5334,64681.2241,66060.7860,85931.2244,1.265549,24.001
7,5,66907.5334,64681.2241,66215.8880,85941.4566,1.033733,23.750
7,6,66907.5334,64681.2241,65872.2125,85833.7323,1.547391,23.784
7,7,66907.5334,64681.2241,65346.1140,86074.9583,2.333697,23.938
7,8,66907.5334,64681.2241,66237.4181,86176.5676,1.001554,23.689
7,9,66907.5334,64681.2241,66230.6717,85910.7884,1.011637,23.630
8,0,72318.3187,70921.9035,71687.3606,98120.5772,0.872473,23.495
8,1,72318.3187,70921.9035,71179.4182,97838.3163,1.574844,23.521
8,2,72318.3187,70921.9035,71268.9310,97930.2883,1.451068,23.640
8,3,72318.3187,70921.9035,71473.1536,98331.9760,1.168674,23.505
8,4,72318.3187,70921.9035,71431.8825,97703.0132,1.225742,23.479
8,5,72318.3187,70921.9035,71260.9273,97588.1892,1.462135,23.442
8,6,72318.3187,70921.9035,71371.7525,97656.8285,1.308889,23.555
8,7,72318.3187,70921.9035,71345.9525,97932.9037,1.344564,23.565
8,8,72318.3187,70921.9035,71338.3138,97879.0255,1.355127,23.546
8,9,72318.3187,70921.9035,71341.0369,97664.9694,1.351361,23.498
9,0,64902.6139,63808.4900,63983.6002,79186.1582,1.415989,23.466
9,1,64902.6139,63808.4900,63310.2531,79150.8571,2.453462,23.610
9,2,64902.6139,63808.4900,63519.0283,79243.0253,2.131787,23.569
9,3,64902.6139,63808.4900,63565.6353,79408.4573,2.059977,23.483
9,4,64902.6139,63808.4900,63751.0208,79017.5598,1.774340,23.520
9,5,64902.6139,63808.4900,63567.2174,79190.4109,2.057539,23.576
9,6,64902.6139,63808.4900,64206.9482,79052.9979,1.071861,23.525
9,7,64902.6139,63808.4900,63664.9304,79275.0339,1.906986,23.655
9,8,64902.6139,63808.4900,63740.1170,79198.4965,1.791140,23.682
9,9,64902.6139,63808.4900,63327.2753,78910.9467,2.427234,23.530
10,0,52368.1382,51735.6056,51396.0501,67835.5053,1.856259,23.511
10,1,52368.1382,51735.6056,51511.7669,67842.1587,1.635291,23.493
10,2,52368.1382,51735.6056,51347.1783,67794.4942,1.949582,23.605
10,3,52368.1382,51735.6056,51427.4163,68037.9444,1.796363,23.669
10,4,52368.1382,51735.6056,51483.3349,67689.9979,1.689583,23.706
10,5,52368.1382,51735.6056,51510.2887,67768.0239,1.638114,23.464
10,6,52368.1382,51735.6056,51473.6428,67848.6349,1.708091,23.439
10,7,52368.1382,51735.6056,51593.1841,67890.3269,1.479820,23.488
10,8,52368.1382,51735.6056,51477.3762,67904.9080,1.700962,23.487
10,9,52368.1382,51735.6056,51471.7514,67677.4899,1.711703,23.432
11,0,60398.8602,59513.9106,59335.8917,86823.0321,1.759915,23.489
11,1,60398.8602,59513.9106,59551.5590,86878.0704,1.402843,23.451
11,2,60398.8602,59513.9106,59266.4839,87009.8543,1.874831,23.526
11,3,60398.8602,59513.9106,59554.7203,87250.5701,1.397609,23.532
11,4,60398.8602,59513.9106,59696.1602,86702.2916,1.163433,23.565
11,5,60398.8602,59513.9106,59511.0702,86656.4952,1.469879,23.498
11,6,60398.8602,59513.9106,59342.0195,86835.2841,1.749769,23.683
11,7,60398.8602,59513.9106,59407.8069,87068.0669,1.640848,23.657
11,8,60398.8602,59513.9106,59369.8945,87070.4896,1.703618,23.627
11,9,60398.8602,59513.9106,59425.9267,86587.1998,1.610847,23.589
12,0,74610.0247,73670.9491,73753.0605,79901.4719,1.148591,23.495
12,1,74610.0247,73670.9491,73921.8973,80026.2795,0.922299,23.557
12,2,74610.0247,73670.9491,73690.0364,80029.1646,1.233063,23.611
12,3,74610.0247,73670.9491,72268.7408,80039.6863,3.138029,23.540
12,4,74610.0247,73670.9491,73741.5182,79717.9744,1.164061,23.576
12,5,74610.0247,73670.9491,74025.8977,79830.3722,0.782907,23.955
12,6,74610.0247,73670.9491,73677.4032,79829.0908,1.249995,23.636
12,7,74610.0247,73670.9491,74014.2829,80083.9464,0.798474,23.462
12,8,74610.0247,73670.9491,73853.3413,80005.1255,1.014185,23.482
12,9,74610.0247,73670.9491,73619.1024,79644.1731,1.328136,23.467
13,0,90199.0744,88030.6229,88533.1163,108623.2906,1.846979,23.665
13,1,90199.0744,88030.6229,89375.3131,108694.1302,0.913270,24.158
13,2,90199.0744,88030.6229,89485.6696,108924.9208,0.790923,23.675
13,3,90199.0744,88030.6229,88527.1106,108865.6057,1.853637,23.446
13,4,90199.0744,88030.6229,88742.7877,108467.9616,1.614525,23.439
13,5,90199.0744,88030.6229,89565.9416,108677.8540,0.701928,23.431
13,6,90199.0744,88030.6229,88837.7573,108767.6458,1.509236,23.429
13,7,90199.0744,88030.6229,88460.8955,108837.5108,1.927047,23.427
13,8,90199.0744,88030.6229,88755.4778,108752.6475,1.600456,23.478
13,9,90199.0744,88030.6229,88961.5135,108506.0726,1.372033,23.450
14,0,44024.1942,43220.1794,43415.1720,59994.4871,1.383381,23.449
14,1,44024.1942,43220.1794,43088.3637,59964.8568,2.125719,23.458
14,2,44024.1942,43220.1794,43377.8228,60065.4525,1.468218,23.448
14,3,44024.1942,43220.1794,43289.5026,60219.6886,1.668836,23.476
14,4,44024.1942,43220.1794,43317.9615,59935.2988,1.604192,23.896
14,5,44024.1942,43220.1794,43275.4257,59884.7444,1.700811,23.618
14,6,44024.1942,43220.1794,43493.4468,60084.9525,1.205581,23.704
14,7,44024.1942,43220.1794,43383.9638,60098.6931,1.454269,23.723
14,8,44024.1942,43220.1794,43383.4316,60077.5370,1.455478,23.776
14,9,44024.1942,43220.1794,43091.1074,59877.7011,2.119486,23.448
15,0,68792.4403,67629.6920,68138.3062,87998.3420,0.950881,23.434
15,1,68792.4403,67629.6920,68393.9408,87981.7695,0.579278,23.529
15,2,68792.4403,67629.6920,67968.1652,87957.6706,1.198206,23.450
15,3,68792.4403,67629.6920,67953.0215,88184.9895,1.220220,23.435
15,4,68792.4403,67629.6920,67294.5814,87751.1500,2.177360,23.438
15,5,68792.4403,67629.6920,68268.4095,87786.4404,0.761756,23.403
15,6,68792.4403,67629.6920,68426.3185,87877.8527,0.532212,23.423
15,7,68792.4403,67629.6920,67962.2654,88060.8244,1.206782,23.447
15,8,68792.4403,67629.6920,68042.8755,88011.4232,1.089604,23.475
15,9,68792.4403,67629.6920,68277.5291,87820.9400,0.748500,23.480
16,0,71102.4695,70169.5105,70125.9939,86900.4659,1.373336,23.486
16,1,71102.4695,70169.5105,70169.8030,86882.4784,1.311722,23.508
16,2,71102.4695,70169.5105,69972.1906,87136.4811,1.589648,23.489
16,3,71102.4695,70169.5105,69963.5207,87104.4732,1.601841,23.464
16,4,71102.4695,70169.5105,69969.9263,86672.9864,1.592832,23.516
16,5,71102.4695,70169.5105,70122.2367,86717.0212,1.378620,23.457
16,6,71102.4695,70169.5105,70188.7259,86875.0766,1.285108,23.447
16,7,71102.4695,70169.5105,70183.2789,86977.9784,1.292769,23.440
16,8,71102.4695,70169.5105,70389.1142,86981.5529,1.003278,23.446
16,9,71102.4695,70169.5105,70122.5020,86803.2930,1.378247,23.437
17,0,84929.9552,83249.9693,84845.0567,102059.1299,0.099963,23.437
17,1,84929.9552,83249.9693,84610.8041,102018.1038,0.375782,23.475
17,2,84929.9552,83249.9693,83845.2819,101925.4722,1.277139,23.485
17,3,84929.9552,83249.9693,84044.8430,102382.8193,1.042167,23.573
17,4,84929.9552,83249.9693,84802.4292,101852.7014,0.150154,23.505
17,5,84929.9552,83249.9693,84814.9770,101838.3866,0.135380,23.176
17,6,84929.9552,83249.9693,83507.6187,101865.2950,1.674717,23.193
17,7,84929.9552,83249.9693,84545.0743,102163.8018,0.453175,23.237
17,8,84929.9552,83249.9693,84183.3198,101824.2669,0.879119,23.184
17,9,84929.9552,83249.9693,83764.1241,101554.9623,1.372697,23.202
18,0,51412.7044,50698.3219,51099.6304,60443.1111,0.608943,23.162
18,1,51412.7044,50698.3219,50920.2426,60318.4577,0.957860,23.159
18,2,51412.7044,50698.3219,50964.8497,60426.8670,0.871097,23.203
18,3,51412.7044,50698.3219,50636.8555,60357.1957,1.509061,23.182
18,4,51412.7044,50698.3219,50921.7627,60229.2435,0.954903,23.163
18,5,51412.7044,50698.3219,50932.7232,60254.5013,0.933585,23.158
18,6,51412.7044,50698.3219,50869.6714,60203.9947,1.056223,23.239
18,7,51412.7044,50698.3219,50901.6178,60437.0228,0.994086,23.161
18,8,51412.7044,50698.3219,50863.5537,60373.2488,1.068122,23.167
18,9,51412.7044,50698.3219,51009.3502,60153.5640,0.784542,23.154
19,0,54649.8448,54002.5319,54087.1035,62704.5017,1.029722,23.499
19,1,54649.8448,54002.5319,53940.1409,62594.1846,1.298638,23.421
19,2,54649.8448,54002.5319,53811.3803,62712.4324,1.534249,23.435
19,3,54649.8448,54002.5319,53975.7119,62805.7249,1.233550,23.431
19,4,54649.8448,54002.5319,53895.4823,62512.7117,1.380356,23.457
19,5,54649.8448,54002.5319,53796.6144,62508.3449,1.561268,23.469
19,6,54649.8448,54002.5319,53724.3252,62568.6519,1.693545,23.468
19,7,54649.8448,54002.5319,53735.6440,62697.6888,1.672833,23.499
19,8,54649.8448,54002.5319,53743.0606,62603.0156,1.659262,23.517
19,9,54649.8448,54002.5319,54198.2795,62536.6880,0.826288,23.534
20,0,87803.0282,86346.6743,86793.8029,118305.2450,1.149420,23.486
20,1,87803.0282,86346.6743,86646.6520,118376.1791,1.317012,23.465
20,2,87803.0282,86346.6743,86889.9573,118399.3438,1.039908,23.510
20,3,87803.0282,86346.6743,86446.3741,118655.3385,1.545111,23.564
20,4,87803.0282,86346.6743,87343.8918,118188.9068,0.522916,23.467
20,5,87803.0282,86346.6743,86869.8437,118000.9811,1.062816,23.429
20,6,87803.0282,86346.6743,87263.8517,118380.2929,0.614075,23.431
20,7,87803.0282,86346.6743,87153.4481,118554.0475,0.739815,23.447
20,8,87803.0282,86346.6743,86947.9617,118486.8853,0.973846,23.423
20,9,87803.0282,86346.6743,87118.8233,118023.0137,0.779250,23.470
21,0,51423.0927,50655.9806,51055.2261,66645.6611,0.715372,23.469
21,1,51423.0927,50655.9806,51017.1208,66480.6957,0.789474,23.436
21,2,51423.0927,50655.9806,51079.9366,66764.2842,0.667319,23.485
21,3,51423.0927,50655.9806,50948.7477,66758.0803,0.922436,23.473
21,4,51423.0927,50655.9806,51022.6716,66422.5511,0.778679,23.459
21,5,51423.0927,50655.9806,50958.2002,66451.4945,0.904054,23.511
21,6,51423.0927,50655.9806,51054.1903,66608.1300,0.717387,23.440
21,7,51423.0927,50655.9806,51052.8657,66784.2998,0.719962,23.432
21,8,51423.0927,50655.9806,49718.4671,66623.9791,3.314903,23.418
21,9,51423.0927,50655.9806,51212.9157,66632.1095,0.408721,23.439
22,0,72643.0674,71787.8613,72282.7028,97931.2631,0.496076,23.476
22,1,72643.0674,71787.8613,71946.3781,97997.2786,0.959058,23.413
22,2,72643.0674,71787.8613,72084.1889,98136.6319,0.769349,23.439
22,3,72643.0674,71787.8613,71722.7943,98108.3994,1.266842,23.457
22,4,72643.0674,71787.8613,71600.2156,97749.7153,1.435583,23.534
22,5,72643.0674,71787.8613,70759.2963,97558.6848,2.593188,23.418
22,6,72643.0674,71787.8613,72175.7447,97939.0443,0.643313,23.431
22,7,72643.0674,71787.8613,71891.0318,98179.3755,1.035248,23.458
22,8,72643.0674,71787.8613,72169.5585,98009.4582,0.651829,23.513
22,9,72643.0674,71787.8613,71938.3205,97646.8163,0.970150,23.437
23,0,63131.8812,62319.6410,62376.5940,85423.9828,1.196364,23.411
23,1,63131.8812,62319.6410,62614.9905,85335.4790,0.818748,23.425
23,2,63131.8812,62319.6410,62532.5107,85364.6329,0.949394,23.477
23,3,63131.8812,62319.6410,62631.3143,85650.4045,0.792891,23.465
23,4,63131.8812,62319.6410,62520.8886,85171.8643,0.967804,23.485
23,5,63131.8812,62319.6410,62463.5708,85180.1460,1.058594,23.477
23,6,63131.8812,62319.6410,62556.0810,85321.3128,0.912059,23.463
23,7,63131.8812,62319.6410,62047.0738,85418.4983,1.718320,23.501
23,8,63131.8812,62319.6410,62595.0116,85382.1652,0.850394,23.458
23,9,63131.8812,62319.6410,62461.5241,85116.7780,1.061836,23.442
24,0,89563.5605,87025.3343,88033.7032,97464.2291,1.708125,23.498
24,1,89563.5605,87025.3343,88653.6641,97605.4215,1.015923,23.520
24,2,89563.5605,87025.3343,88455.9193,97636.9800,1.236710,23.471
24,3,89563.5605,87025.3343,88112.6488,97660.0384,1.619980,23.444
24,4,89563.5605,87025.3343,88182.9760,97484.1199,1.541458,23.442
24,5,89563.5605,87025.3343,88568.8815,97344.8371,1.110584,23.413
24,6,89563.5605,87025.3343,88502.9006,97556.0784,1.184254,23.441
24,7,89563.5605,87025.3343,87699.5364,97696.3523,2.081230,23.468
24,8,89563.5605,87025.3343,88062.0701,97570.8860,1.676452,23.496
24,9,89563.5605,87025.3343,88522.8565,97283.1849,1.161973,23.543
25,0,96829.7484,95518.8730,95644.7401,112174.3544,1.223806,23.200
25,1,96829.7484,95518.8730,95906.8541,112287.0763,0.953110,23.201
25,2,96829.7484,95518.8730,95943.0995,112313.4610,0.915678,23.194
25,3,96829.7484,95518.8730,95826.3666,112564.7855,1.036233,23.172
25,4,96829.7484,95518.8730,95441.4303,111870.8505,1.433772,23.261
25,5,96829.7484,95518.8730,95737.4961,111947.7394,1.128013,23.201
25,6,96829.7484,95518.8730,96195.8279,112347.7585,0.654675,23.176
25,7,96829.7484,95518.8730,95866.6084,112362.1548,0.994674,23.172
25,8,96829.7484,95518.8730,96031.7009,112433.2852,0.824176,23.233
25,9,96829.7484,95518.8730,95995.4116,112009.0367,0.861653,23.318
26,0,64867.5567,63541.6666,63700.7910,83314.7332,1.798689,23.413
26,1,64867.5567,63541.6666,63470.2256,83327.9144,2.154129,23.401
26,2,64867.5567,63541.6666,63227.0083,83445.0421,2.529074,23.415
26,3,64867.5567,63541.6666,64334.1815,83592.2558,0.822253,23.403
26,4,64867.5567,63541.6666,63536.5324,83294.6396,2.051911,23.392
26,5,64867.5567,63541.6666,63234.9087,83248.9236,2.516895,23.410
26,6,64867.5567,63541.6666,63865.7590,83340.5320,1.544374,23.411
26,7,64867.5567,63541.6666,63316.2053,83449.6374,2.391567,23.449
26,8,64867.5567,63541.6666,63626.8259,83439.2789,1.912714,23.421
26,9,64867.5567,63541.6666,63723.4003,83173.9637,1.763834,23.890
27,0,83085.7344,81409.0178,81834.4574,91287.9197,1.506007,24.295
27,1,83085.7344,81409.0178,81797.2580,91211.4305,1.550779,24.290
27,2,83085.7344,81409.0178,81857.6258,91382.6338,1.478122,24.298
27,3,83085.7344,81409.0178,81654.4792,91393.9197,1.722624,24.260
27,4,83085.7344,81409.0178,81665.4298,90919.5798,1.709445,24.439
27,5,83085.7344,81409.0178,81585.9235,91015.0074,1.805137,24.365
27,6,83085.7344,81409.0178,81149.1736,90936.3115,2.330798,24.476
27,7,83085.7344,81409.0178,81661.8691,91210.5171,1.713730,24.235
27,8,83085.7344,81409.0178,81133.2822,91201.5626,2.349925,24.321
27,9,83085.7344,81409.0178,81929.6705,90989.3252,1.391411,24.417
28,0,67669.5667,65469.1900,66095.2617,88057.9117,2.326459,24.299
28,1,67669.5667,65469.1900,66595.7706,88125.4323,1.586823,24.151
28,2,67669.5667,65469.1900,66172.6013,88190.6132,2.212169,23.471
28,3,67669.5667,65469.1900,66608.6534,88413.3553,1.567785,23.539
28,4,67669.5667,65469.1900,66526.7986,87933.7163,1.688748,23.502
28,5,67669.5667,65469.1900,66643.2616,87952.9907,1.516642,23.500
28,6,67669.5667,65469.1900,66287.7587,88131.3732,2.041993,23.450
28,7,67669.5667,65469.1900,66617.2738,88394.3090,1.555046,23.498
28,8,67669.5667,65469.1900,66595.9611,88272.8385,1.586541,23.529
28,9,67669.5667,65469.1900,66795.3514,87936.3321,1.291888,23.508
29,0,42708.6454,41368.1532,42322.3306,53112.2442,0.904535,23.473
29,1,42708.6454,41368.1532,42145.9953,53094.0131,1.317415,23.481
29,2,42708.6454,41368.1532,41807.9606,53137.6702,2.108905,23.565
29,3,42708.6454,41368.1532,42184.7512,53241.0717,1.226670,23.490
29,4,42708.6454,41368.1532,41837.2155,52988.9976,2.040406,23.596
29,5,42708.6454,41368.1532,41846.4986,53050.2672,2.018670,23.569
29,6,42708.6454,41368.1532,42284.2037,53060.8155,0.993807,23.587
29,7,42708.6454,41368.1532,41706.9338,53124.3440,2.345454,23.542
29,8,42708.6454,41368.1532,42303.3632,53168.5945,0.948946,23.484
29,9,42708.6454,41368.1532,42114.7962,52975.4375,1.390466,23.598
